Position	t=0	t=10	t=30
-5.0	50.0	49.99842618685005	49.173300597764964
-4.99	50.0	49.998358630109855	49.161935800947134
-4.98	50.00000000000001	49.99829107336964	49.15057100412809
-4.970000000000001	50.00000000000001	49.99822351662943	49.139206207309044
-4.960000000000001	50.00000000000001	49.9981559598892	49.127841410489985
-4.950000000000001	50.00000000000001	49.99808840314899	49.11647661367094
-4.940000000000001	50.00000000000001	49.99802084640877	49.10511181685188
-4.9300000000000015	50.0	49.99795328966855	49.09374702003283
-4.920000000000002	50.00000000000001	49.99788573292834	49.08238222321379
-4.910000000000002	50.00000000000001	49.99781817618812	49.07101742639473
-4.900000000000002	50.0	49.997750619447906	49.05965262957568
-4.890000000000002	49.99999999999999	49.99765497844087	49.04689724351112
-4.880000000000003	49.99999999999999	49.99755933743382	49.03414185744521
-4.870000000000003	49.99999999999999	49.99746369642676	49.02138647137932
-4.860000000000003	49.99999999999999	49.997368055419706	49.00863108531342
-4.850000000000003	49.99999999999999	49.997272414412656	48.99587569924751
-4.840000000000003	50.0	49.997176773405606	48.98312031318162
-4.830000000000004	49.99999999999999	49.99708113239855	48.97036492711572
-4.820000000000004	49.99999999999999	49.9969854913915	48.95760954104981
-4.810000000000004	49.99999999999999	49.99688985038444	48.94485415498392
-4.800000000000004	50.0	49.9967942093774	48.932098768918024
-4.7900000000000045	50.0	49.99666133828082	48.91787615382716
-4.780000000000005	50.0	49.996528467184206	48.90365353873493
-4.770000000000005	50.0	49.996395596087595	48.889430923642685
-4.760000000000005	50.0	49.996262724991	48.875208308550455
-4.750000000000005	50.0	49.99612985389439	48.860985693458225
-4.7400000000000055	50.0	49.99599698279778	48.846763078365996
-4.730000000000006	49.99999999999999	49.995864111701174	48.83254046327376
-4.720000000000006	49.99999999999999	49.99573124060456	48.81831784818152
-4.710000000000006	49.99999999999999	49.99559836950795	48.804095233089285
-4.700000000000006	50.0	49.99546549841134	48.789872617997055
-4.690000000000007	50.0	49.99527967401081	48.77398242389373
-4.680000000000007	49.99999999999999	49.99509384961022	48.75809222978889
-4.670000000000007	49.99999999999999	49.99490802520963	48.74220203568405
-4.660000000000007	49.99999999999999	49.99472220080906	48.726311841579225
-4.6500000000000075	49.99999999999999	49.99453637640847	48.710421647474384
-4.640000000000008	49.99999999999999	49.99435055200788	48.69453145336955
-4.630000000000008	50.0	49.9941647276073	48.678641259264715
-4.620000000000008	49.99999999999999	49.99397890320671	48.662751065159874
-4.610000000000008	49.99999999999999	49.993793078806135	48.64686087105505
-4.6000000000000085	49.99999999999999	49.99360725440554	48.630970676950206
-4.590000000000009	49.99999999999999	49.99335354712647	48.61336178233626
-4.580000000000009	50.0	49.993099839847346	48.595752887720806
-4.570000000000009	49.99999999999999	49.99284613256821	48.57814399310534
-4.560000000000009	50.0	49.99259242528908	48.56053509848989
-4.55000000000001	49.99999999999999	49.992338718009954	48.54292620387444
-4.54000000000001	50.0	49.992085010730825	48.52531730925899
-4.53000000000001	50.0	49.9918313034517	48.507708414643524
-4.52000000000001	50.00000000000001	49.99157759617257	48.490099520028075
-4.5100000000000104	50.0	49.99132388889344	48.47249062541262
-4.500000000000011	50.0	49.99107018161431	48.454881730797155
-4.490000000000011	49.99999999999999	49.99072693631413	48.435407959502115
-4.480000000000011	50.0	49.9903836910139	48.415934188205505
-4.470000000000011	50.0	49.99004044571366	48.39646041690889
-4.4600000000000115	50.0	49.98969720041342	48.37698664561227
-4.450000000000012	50.0	49.989353955113174	48.357512874315645
-4.440000000000012	50.0	49.98901070981294	48.338039103019035
-4.430000000000012	50.00000000000001	49.9886674645127	48.31856533172242
-4.420000000000012	50.0	49.98832421921246	48.2990915604258
-4.410000000000013	50.0	49.987980973912215	48.27961778912918
-4.400000000000013	50.0	49.98763772861197	48.260144017832566
-4.390000000000013	50.0	49.98717153461342	48.238583793508376
-4.380000000000013	50.0	49.98670534061476	48.21702356918248
-4.370000000000013	50.0	49.98623914661611	48.19546334485658
-4.360000000000014	49.99999999999999	49.98577295261746	48.17390312053068
-4.350000000000014	49.99999999999999	49.985306758618805	48.15234289620478
-4.340000000000014	50.0	49.98484056462015	48.13078267187889
-4.330000000000014	49.99999999999999	49.984374370621495	48.109222447552995
-4.3200000000000145	50.00000000000001	49.983908176622855	48.0876622232271
-4.310000000000015	50.0	49.98344198262419	48.066101998901196
-4.300000000000015	50.0	49.98297578862554	48.0445417745753
-4.290000000000015	49.99999999999999	49.982350244765	48.020762188602454
-4.280000000000015	50.00000000000001	49.981724700904344	47.99698260262787
-4.270000000000016	50.00000000000001	49.98109915704369	47.97320301665327
-4.260000000000016	50.0	49.980473613183015	47.94942343067867
-4.250000000000016	50.0	49.97984806932236	47.925643844704084
-4.240000000000016	50.0	49.9792225254617	47.90186425872949
-4.230000000000016	50.0	49.97859698160104	47.87808467275489
-4.220000000000017	50.0	49.97797143774037	47.85430508678029
-4.210000000000017	50.00000000000001	49.977345893879715	47.83052550080569
-4.200000000000017	50.000000000000014	49.97672035001905	47.806745914831104
-4.190000000000017	49.99999999999999	49.97588556669168	47.780578777432794
-4.1800000000000175	49.99999999999999	49.97505078336416	47.75441164003268
-4.170000000000018	49.99999999999999	49.97421600003664	47.72824450263256
-4.160000000000018	50.0	49.97338121670912	47.70207736523245
-4.150000000000018	50.0	49.97254643338161	47.67591022783234
-4.140000000000018	50.00000000000001	49.9717116500541	47.64974309043223
-4.1300000000000185	50.0	49.97087686672658	47.623575953032116
-4.120000000000019	50.0	49.97004208339906	47.597408815632
