Time	z=0.1	z=0.25	z=0.5
0	0.0	0.0	0.0
1.0	1.108624805351337	0.010019144233969553	3.0961701602788236e-06
2.0	2.4443367552218302	0.04276560276044037	2.593424635655131e-05
3.0	3.4864613499956882	0.10299082658494109	0.00011503603547872947
4.0	4.183656355131853	0.1863984851038143	0.0003596921014517091
5.0	4.623558012285894	0.28434751273313374	0.0008915389458625102
6.0	4.8936153689905675	0.38821169007186623	0.0018686403301504354
7.0	5.054816235690756	0.4914194454741056	0.00345045180191739
8.0	5.145959298549584	0.5897625840415353	0.005773188632466962
9.0	5.191311139560203	0.6809511465777282	0.008932663174017821
10.0	5.206208391694509	0.7640184051233553	0.01297704596587566
11.0	5.200541869925903	0.8388195333935983	0.017908289648424572
12.0	5.180835972806444	0.905675991773063	0.023689228817293687
13.0	5.151489136596776	0.9651457075638876	0.030253280173326624
14.0	5.1155254005943505	1.0178835947492324	0.037514413176413616
15.0	5.0750597042441115	1.0645613674311596	0.045375992481900704
16.0	5.031592721489337	1.1058242481421952	0.0537378690013829
17.0	4.986201990629082	1.1422697844355318	0.06250161530694487
18.0	4.939668505969294	1.174439478714608	0.07157408771824926
19.0	4.892562239834805	1.2028175650303492	0.0808696182209218
20.0	4.8453009705092525	1.2278335558846232	0.0903111596688718
21.0	4.798191414462148	1.249866587834409	0.09983067641268956
22.0	4.751458412845772	1.2692504429142577	0.10936902083462648
23.0	4.705265918379806	1.2862786279112344	0.11887548180216174
24.0	4.659732267571835	1.301209190351546	0.1283071422281092
25.0	4.614941414330877	1.3142691217979936	0.13762814282938365
26.0	4.570951272960806	1.3256582962103	0.14680891806022245
27.0	4.527799968049046	1.3355529441432743	0.1558254470237281
28.0	4.485510552573004	1.3441086907342445	0.16465854547603603
29.0	4.444094594090162	1.3514631976948865	0.1732932133720665
30.0	4.403554917043322	1.3577384533833141	0.1817180444910388
31.0	4.363887710794986	1.3630427543410446	0.1899246994965185
32.0	4.325084157389813	1.3674724186917118	0.19790744053656503
33.0	4.287131693181906	1.3711132678141353	0.20566272358163348
34.0	4.250014989609684	1.374041908451335	0.2131888436989079
35.0	4.213716717323028	1.3763268432913371	0.22048562806264868
36.0	4.178218142337587	1.378029434249049	0.22755417148394197
37.0	4.14349959135726	1.379204739271051	0.23439660946016508
38.0	4.109540814775839	1.3799022404930061	0.24101592409301345
39.0	4.076321269366122	1.3801664789849715	0.24741577863664413
40.0	4.043820337733146	1.3800376090890651	0.2536003768707914
41.0	4.012017497844632	1.379551883446555	0.2595743439203852
42.0	3.980892453063903	1.3787420781863984	0.2653426255471512
43.0	3.9504252308815953	1.3776378663659152	0.2709104033112556
44.0	3.9205962568144366	1.3762661465814119	0.2762830233384332
45.0	3.891386408592766	1.3746513326712217	0.2814659367294976
46.0	3.8627770547044595	1.3728156095887731	0.28646464991582643
47.0	3.834750080534836	1.3707791598058072	0.29128468349856174
48.0	3.807287904688582	1.3685603639959656	0.2959315383136573
49.0	3.780373487562536	1.366175979229996	0.3004106676425016
50.0	3.753990333827059	1.3636412974715972	0.30472745464161966
51.0	3.7281224901462346	1.360970286785549	0.3088871941977345
52.0	3.7027545392054058	1.358175717347264	0.3128950785288581
53.0	3.6778715909047484	1.3552692740668097	0.316756185950471
54.0	3.653459271409107	1.3522616574036823	0.32047547231034845
55.0	3.6295037106087062	1.3491626737452524	0.32405776466809205
56.0	3.605991528435873	1.3459813165468228	0.32750775685757727
57.0	3.5829098203945966	1.342725839280366	0.3308300066237707
58.0	3.5602461425881846	1.3394038211087687	0.33402893407096346
59.0	3.537988496472266	1.3360222260897203	0.3371088211984869
60.0	3.5161253135135127	1.3325874566157474	0.3400738123333667
61.0	3.4946454398962743	1.329105401712119	0.3429279152979302
62.0	3.4735381213883225	1.3255814807406578	0.345675003174809
63.0	3.4527929884518738	1.3220206829932823	0.3483188165526595
64.0	3.4324000416656264	1.3184276036030984	0.3508629661537876
65.0	3.4123496375070563	1.3148064761518983	0.353310935760109
66.0	3.3926324745307714	1.311161202310083	0.35566608536692884
67.0	3.3732395799680845	1.3074953788074533	0.35793165450515413
68.0	3.354162296764043	1.303812322000316	0.3601107656820687
69.0	3.335392271061379	1.3001150902713496	0.3622064278989192
70.0	3.3169214401350895	1.2964065044731157	0.36422154021048775
71.0	3.2987420207770453	1.2926891666035387	0.36615889529773427
72.0	3.280846498126418	1.2889654768818049	0.36802118302963166
73.0	3.263227614939136	1.2852376493754605	0.369810993994589
74.0	3.2458783612873	1.281507726313928	0.3715308229855236
75.0	3.228791964678052	1.277777591209779	0.37318307242572507
76.0	3.21196188058012	1.2740489808968325	0.3747700557252862
77.0	3.1953817833455402	1.2703234965831818	0.3762940005601063
78.0	3.179045557513329	1.2666026140075264	0.3777570520673541
79.0	3.162947289481758	1.262887692778502	0.37916127595285787
80.0	3.147081259535535	1.259179984968922	0.38050866150723434
81.0	3.1314419342143354	1.255480643029938	0.3818011245286869
82.0	3.116023959009117	1.2517907270839075	0.3830405101513344
83.0	3.100822151372912	1.2481112116491921	0.3842285955787159
84.0	3.0858314940330196	1.2444429918451445	0.3853670927227591
85.0	3.0710471285918635	1.2407868891210345	0.3864576507490257
86.0	3.056464349404076	1.23714365654867	0.38750185852948865
87.0	3.0420785977178117	1.2335139837148241	0.38850124700442945
88.0	3.027885456068686	1.2298985012463275	0.38945729145533375
89.0	3.013880642915071	1.2262977849977386	0.3903714136908767
90.0	3.0000600075040333	1.2227123599288567	0.391244984148253
91.0	2.986419524957481	1.2191427036969265	0.39207932391223355
